id,state,type_of_auth,hs_ged,bach,teacher_cert,add_test_req,consec_day_rec,num_consec,teacher_overall,recs_req,rec_src,thumbprint,emergency
45,MI,Expert-in-Residence Permit,1,1,0,0,0,-1,-1,0,-1,0,0
46,MN,Two-Year Short Call Substitute,1,1,0,0,1,15,1,0,-1,0,0
47,MN,Five-Year Short Call Substitute,1,1,1,0,1,15,1,0,-1,1,0
48,MN,Lifetime Short Call Substitute,1,1,1,0,,-1,-1,0,-1,0,0
49,MN,Long Call Substitute,1,1,1,0,0,-1,-1,0,-1,0,0
50,MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
51,MO,Content Substitute,1,1,0,0,0,-1,-1,0,-1,1,0
52,MO,Career Technical Substitute - BA,1,0,0,0,0,-1,-1,1,0,1,0
53,MO,Career Technical Substitute - AA,1,1,0,0,0,-1,-1,1,0,1,0
54,MO,Career Technical Substitute - Other,0,0,0,0,0,-1,-1,1,0,1,0
55,MT,Content Substitute Certificate,1,0,0,0,0,-1,-1,0,-1,1,0
56,MT,Content Substitute Certificate,0,0,0,0,0,-1,-1,0,-1,1,0
57,NE,State Substitute Permit,1,1,1,0,1,90,0,0,-1,1,0
58,NE,Local Substitute Permit,1,0,0,0,1,45,-1,1,0,1,0
59,NV,Licensed Substitute,1,1,1,0,1,60,1,0,-1,1,0
60,NV,Substitute Teacher for Business and Industry,1,0,1,0,0,-1,-1,0,-1,1,0
61,NV,Emergency Substitute License,1,0,0,0,1,5,1,1,0,1,1
62,NH,N/A,N/A,N/A,0,N/A,1,20,1,N/A,N/A,1,0
63,NH,N/A,N/A,N/A,1,N/A,0,-1,-1,N/A,N/A,1,0
64,NJ,Substitute Credential,1,0,0,0,1,20,0,0,-1,1,0
65,NJ,Career Technical Education Substitute Credential,1,0,0,0,0,-1,-1,1,1,1,0
66,NM,Substitute Teacher Authorization - Licensed Teacher,1,0,0,0,0,-1,-1,0,-1,1,0
67,NM,Substitute Teacher Authorization - Teacher Prep,1,1,0,0,0,-1,-1,0,-1,1,0
68,NM,Substitute Teacher Authorization - Minimum Training,1,0,0,0,0,-1,-1,0,-1,1,0
69,NY,Substitute Teaching Auth. - Licensed Teacher,1,1,1,0,0,-1,-1,0,-1,1,0
70,NY,Substitute Teaching Authorization - Working Toward Certification,1,0,0,0,0,-1,-1,0,-1,1,0
71,NY,Substitute Teaching Authorization - Not Working Toward Certification,0,0,0,0,1,40,1,0,-1,1,0
72,NC,N/A,N/A,N/A,N/A,N/A,N/A,-1,-1,N/A,-1,0,0
73,ND,Substitute Authorization - In State Licensed Teacher,1,1,1,0,0,-1,-1,0,-1,1,0
74,ND,Substitute Authorization - Out of State Licensed Teacher,1,1,1,0,0,-1,-1,0,-1,1,0
75,ND,Interim Substitute License,1,0,0,0,0,-1,-1,1,0,1,0
76,ND,Substitute Authorization - Restricted License,0,0,1,0,0,-1,-1,0,-1,1,0
77,OH,Long-term Substitute License,1,1,0,0,0,-1,-1,1,0,1,0
78,OH,Short-term Substitute License,1,1,0,0,1,5,0,0,-1,1,0
79,OK,N/A,N/A,N/A,0,N/A,1,90,1,0,-1,1,0
80,OK,N/A,N/A,N/A,1,N/A,0,-1,-1,0,-1,1,0
81,OR,Substitute Teaching License,1,1,0,1,1,90,0,0,-1,1,0
82,OR,Restricted Substitute Teaching License,1,1,0,0,0,-1,-1,1,0,1,0
83,PA,Long-Term Sub - No Educ. Obligation (Type 04),1,1,0,0,0,-1,-1,1,2,1,0
84,PA,Day-to-Day Substitute (Type 06),1,1,0,0,1,20,0,1,2,1,0
85,PA,Substitute with Inactive License in Certification Area (Type 06),1,1,1,0,1,90,1,1,2,1,0
86,PA,Vacant Position (Type 01),1,1,1,0,0,-1,-1,1,2,1,0
87,PA,Vocational Instruction (Type 01),1,1,1,1,0,-1,-1,1,2,1,0
88,RI,Long-term Substitute,1,1,1,0,0,-1,-1,0,-1,1,0
89,RI,Day-to-Day Substitute Permit,1,1,0,0,1,20,0,0,-1,1,0
90,SC,Substitute Authorization,1,0,0,0,0,-1,-1,0,-1,1,0
91,SD,N/A,N/A,N/A,N/A,N/A,N/A,-1,-1,N/A,-1,1,0
92,TN,N/A,N/A,N/A,0,N/A,1,0,FALSE,0,-1,1,0
93,TN,N/A,N/A,N/A,1,N/A,0,-1,-1,0,-1,1,0
94,TX,N/A,N/A,N/A,N/A,N/A,N/A,-1,-1,N/A,-1,1,0
95,UT,N/A,N/A,N/A,N/A,N/A,1,40,0,N/A,-1,0,0
96,VT,Substitute Authorization,1,N/A,0,N/A,1,30,0,0,-1,1,0
97,VT,Substitute Authorization,1,N/A,1,N/A,1,60,0,0,-1,1,0
98,VA,Substitute Authorization,1,0,0,0,1,90,0,0,-1,1,0
99,WA,Substitute Certificate,1,1,1,0,0,-1,-1,0,-1,1,0
100,WA,Emergency Substitute Certificate,1,1,0,0,0,-1,-1,1,0,1,1
101,WV,Long-Term Substitute Authorization,1,1,0,0,0,-1,-1,1,0,1,0
102,WV,Long-Term Substitute Authorization,1,0,1,0,0,-1,-1,1,0,1,0
103,WV,Short-term Substitute Authorization,1,1,0,0,1,30,0,1,0,1,0
104,WI,Five-Year Substitute License,1,1,1,1,0,-1,-1,0,-1,0,0
105,WI,Three-Year Substitute Permit,1,1,0,0,1,20,0,1,0,0,0
106,WI,Emergency License,1,1,1,0,0,-1,-1,1,0,0,1
107,WI,Emergency Permit,1,1,0,0,0,-1,-1,1,0,0,1
108,WY,Substitute Permit - College Credit Path,1,0,1,1,0,-1,-1,0,-1,1,0
109,WY,Substitute Permit - Alternate Path,1,0,1,1,0,-1,-1,0,-1,1,0
